,timestamp,plala(Download),plala(Upload),wakwak(Download),wakwak(Upload),asahi(Download),asahi(Upload),ocn(Download),ocn(Upload),sonet(Download),sonet(Upload),wakwak-ipoe(Download),wakwak-ipoe(Upload)
2022/7/17 16:05,2022/07/17T16:05:00,153,31,87,41,148,41,241,60,149,52,7,25
2022/7/17 16:10,2022/07/17T16:10:00,137,32,14,44,306,31,117,29,75,35,5,22
2022/7/17 16:15,2022/07/17T16:15:00,140,64,17,52,165,67,123,62,174,40,13,30
2022/7/17 16:20,2022/07/17T16:20:00,89,51,92,58,348,47,228,64,245,48,6,43
2022/7/17 16:25,2022/07/17T16:25:00,77,55,77,30,339,62,264,56,257,45,19,31
2022/7/17 16:30,2022/07/17T16:30:00,149,54,65,44,334,44,171,22,153,52,5,39
2022/7/17 16:35,2022/07/17T16:35:00,221,18,136,55,344,40,113,49,218,57,14,40
2022/7/17 16:40,2022/07/17T16:40:00,141,30,121,39,219,47,135,64,187,46,26,34
2022/7/17 16:45,2022/07/17T16:45:00,178,50,57,39,220,51,213,13,276,52,114,40
2022/7/17 16:50,2022/07/17T16:50:00,136,35,59,47,162,50,91,53,278,33,68,48
2022/7/17 16:55,2022/07/17T16:55:00,20,68,99,21,156,31,155,54,165,48,70,40
2022/7/17 17:00,2022/07/17T17:00:00,21,36,81,42,72,47,109,58,149,32,5,23
2022/7/17 17:05,2022/07/17T17:05:00,59,54,96,50,119,54,136,58,68,68,6,38
2022/7/17 17:10,2022/07/17T17:10:00,36,53,84,44,48,24,136,44,122,47,20,27
2022/7/17 17:15,2022/07/17T17:15:00,120,35,86,17,309,59,100,22,214,56,4,38
2022/7/17 17:20,2022/07/17T17:20:00,143,46,51,52,238,50,153,25,145,69,8,33
2022/7/17 17:25,2022/07/17T17:25:00,185,44,90,61,225,69,233,52,197,45,64,34
2022/7/17 17:30,2022/07/17T17:30:00,140,56,90,21,317,43,219,20,123,24,11,22
2022/7/17 17:35,2022/07/17T17:35:00,173,48,121,38,284,39,164,39,194,61,18,25
2022/7/17 17:40,2022/07/17T17:40:00,202,67,104,66,390,42,162,41,276,43,6,20
2022/7/17 17:45,2022/07/17T17:45:00,104,60,103,50,173,57,226,60,229,53,9,31
2022/7/17 17:50,2022/07/17T17:50:00,78,61,30,30,137,62,232,71,225,57,1,45
2022/7/17 17:55,2022/07/17T17:55:00,92,53,84,67,290,49,156,22,195,54,4,41
2022/7/17 18:00,2022/07/17T18:00:00,88,34,95,45,200,57,150,15,109,23,3,35
2022/7/17 18:05,2022/07/17T18:05:00,46,50,63,63,350,50,203,63,212,64,4,19
2022/7/17 18:10,2022/07/17T18:10:00,117,48,103,32,234,46,220,56,163,52,9,23
2022/7/17 18:15,2022/07/17T18:15:00,47,48,83,59,299,61,150,47,201,70,4,32
2022/7/17 18:20,2022/07/17T18:20:00,97,47,115,48,159,51,169,64,113,42,7,20
2022/7/17 18:25,2022/07/17T18:25:00,90,65,82,40,236,36,134,69,183,40,6,32
2022/7/17 18:30,2022/07/17T18:30:00,70,40,142,40,227,46,276,41,211,60,20,35
2022/7/17 18:35,2022/07/17T18:35:00,50,48,93,64,280,49,183,45,59,30,5,33
2022/7/17 18:40,2022/07/17T18:40:00,95,54,83,53,110,29,199,51,120,22,71,40
2022/7/17 18:45,2022/07/17T18:45:00,84,53,141,43,153,58,49,45,235,49,101,35
2022/7/17 18:50,2022/07/17T18:50:00,127,53,132,40,98,43,242,56,69,57,115,40
2022/7/17 18:55,2022/07/17T18:55:00,109,63,65,63,170,53,159,49,154,48,117,46
2022/7/17 19:00,2022/07/17T19:00:00,185,53,81,43,248,53,141,55,228,52,139,29
2022/7/17 19:05,2022/07/17T19:05:00,79,48,13,48,181,49,157,55,148,43,75,32
2022/7/17 19:10,2022/07/17T19:10:00,96,32,49,36,192,60,238,54,107,34,167,37
2022/7/17 19:15,2022/07/17T19:15:00,109,46,33,51,268,44,53,47,251,63,117,32
2022/7/17 19:20,2022/07/17T19:20:00,267,49,28,35,140,46,152,61,216,27,68,35
2022/7/17 19:25,2022/07/17T19:25:00,117,54,11,20,217,56,283,68,108,62,167,29
2022/7/17 19:30,2022/07/17T19:30:00,191,57,43,41,303,43,170,61,83,56,97,29
2022/7/17 19:35,2022/07/17T19:35:00,133,40,6,30,215,40,182,53,183,28,124,23
2022/7/17 19:40,2022/07/17T19:40:00,171,49,5,40,233,37,198,31,308,55,11,33
2022/7/17 19:45,2022/07/17T19:45:00,161,58,6,50,102,35,186,48,122,40,124,43
2022/7/17 19:50,2022/07/17T19:50:00,86,51,4,35,311,45,188,56,267,45,111,45
2022/7/17 19:55,2022/07/17T19:55:00,86,50,8,31,181,42,206,49,131,48,54,31
2022/7/17 20:00,2022/07/17T20:00:00,138,18,5,26,213,57,162,44,210,31,33,44
2022/7/17 20:05,2022/07/17T20:05:00,219,46,6,29,245,52,70,49,64,52,87,29
2022/7/17 20:10,2022/07/17T20:10:00,144,48,50,38,229,53,239,47,273,52,42,39
2022/7/17 20:15,2022/07/17T20:15:00,136,52,70,42,268,54,55,51,187,46,36,28
2022/7/17 20:20,2022/07/17T20:20:00,174,43,23,40,348,41,128,42,73,64,29,24
2022/7/17 20:25,2022/07/17T20:25:00,190,57,13,39,97,58,111,39,123,34,74,43
2022/7/17 20:30,2022/07/17T20:30:00,75,52,35,56,151,56,78,39,183,70,23,39
2022/7/17 20:35,2022/07/17T20:35:00,32,68,23,28,228,55,105,46,282,56,47,51
2022/7/17 20:40,2022/07/17T20:40:00,115,63,67,36,92,37,138,49,205,61,10,32
2022/7/17 20:45,2022/07/17T20:45:00,136,47,17,54,262,59,67,41,242,67,12,36
2022/7/17 20:50,2022/07/17T20:50:00,145,45,59,48,40,50,132,38,70,56,55,40
2022/7/17 20:55,2022/07/17T20:55:00,141,58,15,42,319,68,61,45,189,54,6,40
2022/7/17 21:00,2022/07/17T21:00:00,177,57,5,36,295,50,42,24,149,53,11,25
2022/7/17 21:05,2022/07/17T21:05:00,286,63,6,38,307,50,13,37,216,47,5,27
2022/7/17 21:10,2022/07/17T21:10:00,153,51,15,43,264,51,103,36,137,56,14,48
2022/7/17 21:15,2022/07/17T21:15:00,126,56,4,23,184,32,68,23,167,57,26,51
2022/7/17 21:20,2022/07/17T21:20:00,90,50,20,33,351,56,101,47,125,56,8,39
2022/7/17 21:25,2022/07/17T21:25:00,206,62,9,62,308,55,36,34,174,58,49,45
2022/7/17 21:30,2022/07/17T21:30:00,170,57,8,60,271,51,9,24,237,64,5,37
2022/7/17 21:35,2022/07/17T21:35:00,161,55,40,40,246,42,45,36,204,61,7,48
2022/7/17 21:40,2022/07/17T21:40:00,48,55,7,31,189,48,21,36,134,39,13,44
2022/7/17 21:45,2022/07/17T21:45:00,26,55,20,45,108,24,11,36,183,40,96,22
2022/7/17 21:50,2022/07/17T21:50:00,107,46,7,25,118,51,12,28,155,41,85,37
2022/7/17 21:55,2022/07/17T21:55:00,68,56,10,33,169,76,55,49,216,71,17,41
2022/7/17 22:00,2022/07/17T22:00:00,37,37,7,31,249,63,37,53,69,52,6,37
2022/7/17 22:05,2022/07/17T22:05:00,138,54,11,34,189,50,55,38,208,77,19,37
2022/7/17 22:10,2022/07/17T22:10:00,83,48,7,26,90,58,16,49,232,60,4,32
2022/7/17 22:15,2022/07/17T22:15:00,128,56,5,33,264,58,212,27,171,63,38,37
2022/7/17 22:20,2022/07/17T22:20:00,142,55,8,26,118,42,19,63,92,54,49,48
2022/7/17 22:25,2022/07/17T22:25:00,113,48,9,37,69,45,131,51,177,52,14,47
2022/7/17 22:30,2022/07/17T22:30:00,64,58,6,38,60,44,71,50,171,54,6,46
2022/7/17 22:35,2022/07/17T22:35:00,90,48,12,28,245,46,60,47,139,40,36,50
2022/7/17 22:40,2022/07/17T22:40:00,81,46,16,46,27,51,41,13,94,40,26,50
2022/7/17 22:45,2022/07/17T22:45:00,100,54,7,38,98,48,84,24,94,45,46,43
2022/7/17 22:50,2022/07/17T22:50:00,36,57,25,54,148,42,127,50,108,50,12,24
2022/7/17 22:55,2022/07/17T22:55:00,56,51,8,35,86,46,69,46,214,48,8,16
2022/7/17 23:00,2022/07/17T23:00:00,126,39,14,35,308,48,116,39,144,42,4,29
2022/7/17 23:05,2022/07/17T23:05:00,49,54,14,32,143,56,82,12,197,65,3,32
2022/7/17 23:10,2022/07/17T23:10:00,57,55,29,41,49,58,82,44,198,54,4,29
2022/7/17 23:15,2022/07/17T23:15:00,45,30,11,54,46,41,109,62,128,59,21,34
2022/7/17 23:20,2022/07/17T23:20:00,70,66,47,47,171,54,110,49,198,39,15,31
2022/7/17 23:25,2022/07/17T23:25:00,141,40,31,44,86,64,42,64,38,55,6,39
2022/7/17 23:30,2022/07/17T23:30:00,26,52,50,21,127,40,69,52,93,61,30,31
2022/7/17 23:35,2022/07/17T23:35:00,38,41,12,31,226,84,136,53,100,46,117,19
2022/7/17 23:40,2022/07/17T23:40:00,37,55,34,32,227,60,247,69,182,69,6,30
2022/7/17 23:45,2022/07/17T23:45:00,119,38,32,27,77,48,175,60,174,50,129,29
2022/7/17 23:50,2022/07/17T23:50:00,216,71,116,29,112,41,218,72,111,43,92,42
2022/7/17 23:55,2022/07/17T23:55:00,162,51,130,37,36,66,234,59,116,47,41,36
2022/7/18 0:00,2022/07/18T00:00:00,132,37,108,32,48,51,33,31,135,50,32,44
2022/7/18 0:05,2022/07/18T00:05:00,94,25,49,57,50,42,123,52,33,52,4,26
2022/7/18 0:10,2022/07/18T00:10:00,71,49,93,36,77,20,85,48,104,52,67,42
2022/7/18 0:15,2022/07/18T00:15:00,58,21,120,51,203,22,170,46,53,49,126,25
2022/7/18 0:20,2022/07/18T00:20:00,116,53,14,36,75,17,84,60,26,41,116,42
2022/7/18 0:25,2022/07/18T00:25:00,30,27,47,49,70,55,228,62,79,65,105,44
2022/7/18 0:30,2022/07/18T00:30:00,51,43,123,30,142,37,42,60,239,47,156,28
2022/7/18 0:35,2022/07/18T00:35:00,84,39,104,35,29,44,56,54,72,44,122,33
2022/7/18 0:40,2022/07/18T00:40:00,53,53,52,46,210,48,53,46,136,80,100,52
2022/7/18 0:45,2022/07/18T00:45:00,55,50,98,61,260,39,106,60,103,60,160,43
2022/7/18 0:50,2022/07/18T00:50:00,111,58,81,58,223,30,143,61,243,34,147,47
2022/7/18 0:55,2022/07/18T00:55:00,162,56,38,29,163,59,37,54,180,56,91,40
2022/7/18 1:00,2022/07/18T01:00:00,36,41,58,43,98,55,42,21,221,60,54,30
2022/7/18 1:05,2022/07/18T01:05:00,163,56,114,46,167,33,137,25,224,37,237,36
2022/7/18 1:10,2022/07/18T01:10:00,182,35,155,51,125,38,196,52,88,42,227,26
2022/7/18 1:15,2022/07/18T01:15:00,134,35,90,47,116,50,140,64,146,35,147,48
2022/7/18 1:20,2022/07/18T01:20:00,118,46,101,40,189,60,159,25,291,48,205,25
2022/7/18 1:25,2022/07/18T01:25:00,88,50,132,54,233,48,98,61,203,24,167,24
2022/7/18 1:30,2022/07/18T01:30:00,75,37,165,66,214,45,95,37,225,16,130,22
2022/7/18 1:35,2022/07/18T01:35:00,120,51,89,29,142,49,161,69,143,55,201,16
2022/7/18 1:40,2022/07/18T01:40:00,103,33,175,60,94,54,103,53,274,43,157,46
2022/7/18 1:45,2022/07/18T01:45:00,193,58,221,53,133,61,215,60,104,63,279,23
2022/7/18 1:50,2022/07/18T01:50:00,178,40,144,67,331,51,193,54,150,47,182,39
2022/7/18 1:55,2022/07/18T01:55:00,150,66,55,23,296,46,134,52,235,43,205,36
2022/7/18 2:00,2022/07/18T02:00:00,81,47,156,64,157,35,125,59,129,25,186,40
2022/7/18 2:05,2022/07/18T02:05:00,186,56,131,57,166,46,214,40,296,12,165,35
2022/7/18 2:10,2022/07/18T02:10:00,172,41,75,56,319,32,223,38,123,36,291,39
2022/7/18 2:15,2022/07/18T02:15:00,142,62,178,32,256,40,86,72,202,28,262,29
2022/7/18 2:20,2022/07/18T02:20:00,212,54,64,30,251,35,152,36,278,51,174,46
2022/7/18 2:25,2022/07/18T02:25:00,232,52,163,45,97,57,201,57,245,55,232,55
2022/7/18 2:30,2022/07/18T02:30:00,161,46,143,57,184,49,181,39,314,59,257,26
2022/7/18 2:35,2022/07/18T02:35:00,160,61,76,60,277,57,238,75,215,61,411,38
2022/7/18 2:40,2022/07/18T02:40:00,90,31,360,61,101,44,159,56,252,64,219,34
2022/7/18 2:45,2022/07/18T02:45:00,156,46,67,57,248,63,307,64,287,71,260,36
2022/7/18 2:50,2022/07/18T02:50:00,183,47,17,34,220,30,57,58,159,22,120,55
2022/7/18 2:55,2022/07/18T02:55:00,150,49,134,59,141,71,71,54,158,33,293,42
2022/7/18 3:00,2022/07/18T03:00:00,32,38,181,96,314,41,117,53,210,47,294,42
2022/7/18 3:05,2022/07/18T03:05:00,93,41,223,105,276,59,141,37,273,52,241,19
2022/7/18 3:10,2022/07/18T03:10:00,80,49,234,97,363,74,325,41,277,54,239,53
2022/7/18 3:15,2022/07/18T03:15:00,177,53,221,136,639,51,234,60,215,37,195,46
2022/7/18 3:20,2022/07/18T03:20:00,155,37,142,50,185,52,74,51,275,40,361,45
2022/7/18 3:25,2022/07/18T03:25:00,95,58,243,99,387,37,205,51,297,28,219,48
2022/7/18 3:30,2022/07/18T03:30:00,159,34,155,126,383,60,420,43,277,56,406,24
2022/7/18 3:35,2022/07/18T03:35:00,112,59,200,128,276,52,274,61,380,55,141,39
2022/7/18 3:40,2022/07/18T03:40:00,173,43,212,103,457,43,154,57,134,45,316,36
2022/7/18 3:45,2022/07/18T03:45:00,159,37,202,131,419,48,127,55,294,45,409,40
2022/7/18 3:50,2022/07/18T03:50:00,200,47,231,129,350,64,182,56,496,43,403,41
2022/7/18 3:55,2022/07/18T03:55:00,177,30,119,52,388,71,268,58,327,49,381,34
2022/7/18 4:00,2022/07/18T04:00:00,98,31,239,132,231,81,93,47,248,46,292,39
2022/7/18 4:05,2022/07/18T04:05:00,107,49,205,59,235,85,109,41,276,70,286,41
2022/7/18 4:10,2022/07/18T04:10:00,221,50,213,99,200,99,170,48,153,59,346,33
2022/7/18 4:15,2022/07/18T04:15:00,348,58,121,122,325,96,227,43,121,64,282,36
2022/7/18 4:20,2022/07/18T04:20:00,215,43,119,118,242,47,267,54,124,65,344,50
2022/7/18 4:25,2022/07/18T04:25:00,190,61,155,124,329,81,166,38,265,56,457,42
2022/7/18 4:30,2022/07/18T04:30:00,238,53,124,81,156,89,260,49,162,39,528,39
2022/7/18 4:35,2022/07/18T04:35:00,232,53,158,136,158,97,101,53,158,53,430,49
2022/7/18 4:40,2022/07/18T04:40:00,207,22,186,50,196,78,266,48,260,63,500,33
2022/7/18 4:45,2022/07/18T04:45:00,130,57,154,52,289,65,223,34,233,33,410,29
2022/7/18 4:50,2022/07/18T04:50:00,143,37,147,75,327,57,117,75,173,25,336,31
2022/7/18 4:55,2022/07/18T04:55:00,142,61,118,105,323,70,149,50,233,54,313,42
2022/7/18 5:00,2022/07/18T05:00:00,222,56,237,80,234,40,263,63,181,25,235,33
2022/7/18 5:05,2022/07/18T05:05:00,121,56,112,47,455,56,174,55,275,61,311,31
2022/7/18 5:10,2022/07/18T05:10:00,116,38,186,79,553,62,352,57,150,21,384,53
2022/7/18 5:15,2022/07/18T05:15:00,112,38,130,138,499,42,353,61,250,25,409,49
2022/7/18 5:20,2022/07/18T05:20:00,258,50,212,94,261,47,409,58,194,63,297,49
2022/7/18 5:25,2022/07/18T05:25:00,166,48,199,101,357,61,342,54,161,28,394,41
2022/7/18 5:30,2022/07/18T05:30:00,166,60,115,129,549,42,345,38,337,46,389,30
2022/7/18 5:35,2022/07/18T05:35:00,138,36,200,93,278,23,240,61,191,13,117,40
2022/7/18 5:40,2022/07/18T05:40:00,139,41,135,48,307,51,157,37,212,41,97,39
2022/7/18 5:45,2022/07/18T05:45:00,167,32,118,126,61,56,225,38,235,44,493,28
2022/7/18 5:50,2022/07/18T05:50:00,209,29,213,127,241,63,214,51,216,49,269,24
2022/7/18 5:55,2022/07/18T05:55:00,147,60,116,43,123,52,180,46,187,69,294,28
2022/7/18 6:00,2022/07/18T06:00:00,119,39,202,133,229,65,130,69,238,74,311,39
2022/7/18 6:05,2022/07/18T06:05:00,224,39,209,104,328,59,346,30,196,52,247,23
2022/7/18 6:10,2022/07/18T06:10:00,185,64,193,59,194,65,167,35,228,66,451,45
2022/7/18 6:15,2022/07/18T06:15:00,172,31,174,47,251,31,371,54,228,28,273,45
2022/7/18 6:20,2022/07/18T06:20:00,88,58,201,47,368,16,216,50,280,61,322,33
2022/7/18 6:25,2022/07/18T06:25:00,216,49,215,133,331,40,270,23,243,59,241,49
2022/7/18 6:30,2022/07/18T06:30:00,204,58,171,60,179,66,124,42,219,61,176,40
2022/7/18 6:35,2022/07/18T06:35:00,170,59,162,40,227,40,381,70,188,51,314,43
2022/7/18 6:40,2022/07/18T06:40:00,110,49,213,117,341,52,135,57,197,38,252,49
2022/7/18 6:45,2022/07/18T06:45:00,169,51,146,126,379,73,379,56,339,49,340,43
2022/7/18 6:50,2022/07/18T06:50:00,151,42,137,128,376,63,273,52,195,60,236,39
2022/7/18 6:55,2022/07/18T06:55:00,182,64,130,122,157,59,300,47,253,20,234,34
2022/7/18 7:00,2022/07/18T07:00:00,72,43,160,102,436,68,379,60,196,78,267,24
2022/7/18 7:05,2022/07/18T07:05:00,126,57,164,89,150,48,150,48,90,17,301,33
2022/7/18 7:10,2022/07/18T07:10:00,164,44,123,87,148,42,290,45,131,26,403,28
2022/7/18 7:15,2022/07/18T07:15:00,146,49,161,75,160,54,146,65,115,61,246,39
2022/7/18 7:20,2022/07/18T07:20:00,65,38,148,83,256,60,102,62,202,44,355,38
2022/7/18 7:25,2022/07/18T07:25:00,106,50,244,134,321,29,146,50,191,46,330,43
2022/7/18 7:30,2022/07/18T07:30:00,150,56,187,78,355,46,117,24,257,42,219,31
2022/7/18 7:35,2022/07/18T07:35:00,166,51,217,69,432,72,260,74,384,21,229,26
2022/7/18 7:40,2022/07/18T07:40:00,139,56,197,53,297,39,260,28,213,34,279,46
2022/7/18 7:45,2022/07/18T07:45:00,96,37,167,51,211,46,167,63,375,66,236,39
2022/7/18 7:50,2022/07/18T07:50:00,157,29,143,87,342,66,334,56,287,28,368,41
2022/7/18 7:55,2022/07/18T07:55:00,205,55,86,70,220,64,222,54,230,49,187,50
2022/7/18 8:00,2022/07/18T08:00:00,90,52,74,57,126,65,148,13,177,48,219,41
2022/7/18 8:05,2022/07/18T08:05:00,100,44,53,97,241,73,138,59,275,50,226,51
2022/7/18 8:10,2022/07/18T08:10:00,124,48,79,102,177,62,333,59,324,63,271,41
2022/7/18 8:15,2022/07/18T08:15:00,150,50,75,98,298,61,105,70,243,29,291,37
2022/7/18 8:20,2022/07/18T08:20:00,198,49,62,40,409,50,199,63,171,66,139,49
2022/7/18 8:25,2022/07/18T08:25:00,148,54,86,103,378,67,125,53,191,72,129,44
2022/7/18 8:30,2022/07/18T08:30:00,229,61,91,69,260,59,406,65,201,28,192,55
2022/7/18 8:35,2022/07/18T08:35:00,94,57,53,58,118,55,176,69,138,51,161,42
2022/7/18 8:40,2022/07/18T08:40:00,93,32,54,108,215,51,188,61,202,68,172,46
2022/7/18 8:45,2022/07/18T08:45:00,55,43,71,62,257,58,244,61,173,56,210,49
2022/7/18 8:50,2022/07/18T08:50:00,122,54,92,96,207,66,77,24,192,56,178,40
2022/7/18 8:55,2022/07/18T08:55:00,47,51,82,90,220,65,143,57,172,36,61,49
2022/7/18 9:00,2022/07/18T09:00:00,157,48,56,79,44,47,135,40,221,54,78,39
2022/7/18 9:05,2022/07/18T09:05:00,35,44,84,88,278,66,108,43,176,49,180,35
2022/7/18 9:10,2022/07/18T09:10:00,25,54,51,44,97,52,98,46,111,47,41,36
2022/7/18 9:15,2022/07/18T09:15:00,102,47,81,104,83,62,112,50,115,69,37,26
2022/7/18 9:20,2022/07/18T09:20:00,45,67,97,68,189,46,144,52,109,36,159,38
2022/7/18 9:25,2022/07/18T09:25:00,161,59,70,55,182,66,106,78,62,38,94,26
2022/7/18 9:30,2022/07/18T09:30:00,53,53,52,47,274,77,38,41,119,39,22,45
2022/7/18 9:35,2022/07/18T09:35:00,89,53,69,34,124,46,196,72,127,68,174,44
2022/7/18 9:40,2022/07/18T09:40:00,185,55,54,65,197,45,181,60,131,55,199,49
2022/7/18 9:45,2022/07/18T09:45:00,61,57,43,75,215,66,197,57,139,55,136,34
2022/7/18 9:50,2022/07/18T09:50:00,51,57,55,72,260,52,145,57,198,68,175,46
2022/7/18 9:55,2022/07/18T09:55:00,71,58,73,42,243,51,150,57,129,69,141,38
2022/7/18 10:00,2022/07/18T10:00:00,27,37,51,55,449,79,64,62,93,43,126,46
2022/7/18 10:05,2022/07/18T10:05:00,155,47,68,74,240,51,198,56,206,59,163,42
2022/7/18 10:10,2022/07/18T10:10:00,235,57,51,59,172,62,198,45,309,53,9,44
2022/7/18 10:15,2022/07/18T10:15:00,101,41,77,34,278,68,125,50,159,63,130,42
2022/7/18 10:20,2022/07/18T10:20:00,230,65,52,48,301,72,125,68,213,66,165,43
2022/7/18 10:25,2022/07/18T10:25:00,68,45,55,38,320,57,165,61,310,71,28,38
2022/7/18 10:30,2022/07/18T10:30:00,96,61,52,38,248,55,307,45,73,52,190,44
2022/7/18 10:35,2022/07/18T10:35:00,58,66,47,57,191,68,77,68,90,70,105,36
2022/7/18 10:40,2022/07/18T10:40:00,131,35,44,55,175,70,206,55,274,38,117,45
2022/7/18 10:45,2022/07/18T10:45:00,75,72,77,45,156,77,61,52,271,54,190,55
2022/7/18 10:50,2022/07/18T10:50:00,124,52,66,61,212,58,261,67,159,45,71,50
2022/7/18 10:55,2022/07/18T10:55:00,140,63,45,37,209,51,89,47,308,23,101,28
2022/7/18 11:00,2022/07/18T11:00:00,91,49,76,78,97,71,181,61,177,20,23,41
2022/7/18 11:05,2022/07/18T11:05:00,96,58,76,72,129,56,202,67,89,40,73,41
2022/7/18 11:10,2022/07/18T11:10:00,51,49,74,38,162,59,129,26,125,72,68,33
2022/7/18 11:15,2022/07/18T11:15:00,65,50,38,79,228,52,71,42,133,58,131,29
2022/7/18 11:20,2022/07/18T11:20:00,56,62,56,51,168,64,85,38,264,45,61,52
2022/7/18 11:25,2022/07/18T11:25:00,64,64,69,31,316,48,152,52,282,79,126,42
2022/7/18 11:30,2022/07/18T11:30:00,55,63,41,45,79,65,243,31,139,55,137,50
2022/7/18 11:35,2022/07/18T11:35:00,178,60,54,84,148,40,164,43,131,58,58,51
2022/7/18 11:40,2022/07/18T11:40:00,95,39,58,34,196,54,51,45,198,49,54,38
2022/7/18 11:45,2022/07/18T11:45:00,99,51,49,78,202,49,229,33,356,40,124,42
2022/7/18 11:50,2022/07/18T11:50:00,228,57,53,65,277,62,233,23,224,61,215,44
2022/7/18 11:55,2022/07/18T11:55:00,173,42,63,52,284,53,336,45,129,48,153,40
2022/7/18 12:00,2022/07/18T12:00:00,191,44,43,53,169,31,207,67,210,62,148,39
2022/7/18 12:05,2022/07/18T12:05:00,127,35,58,63,389,52,90,42,72,51,160,33
2022/7/18 12:10,2022/07/18T12:10:00,228,58,72,85,152,65,156,52,81,34,105,35
2022/7/18 12:15,2022/07/18T12:15:00,123,64,74,51,199,58,198,57,132,60,46,47
2022/7/18 12:20,2022/07/18T12:20:00,137,40,46,80,125,37,232,63,225,54,162,36
2022/7/18 12:25,2022/07/18T12:25:00,177,57,63,71,183,28,240,40,183,47,133,42
2022/7/18 12:30,2022/07/18T12:30:00,125,59,53,84,169,55,226,38,292,65,111,39
2022/7/18 12:35,2022/07/18T12:35:00,58,53,51,72,98,54,193,66,175,59,104,48
2022/7/18 12:40,2022/07/18T12:40:00,145,24,46,89,291,67,216,55,265,44,18,45
2022/7/18 12:45,2022/07/18T12:45:00,56,46,68,81,165,75,268,64,280,64,12,37
2022/7/18 12:50,2022/07/18T12:50:00,107,60,46,36,123,57,121,54,216,44,8,30
2022/7/18 12:55,2022/07/18T12:55:00,105,52,61,74,250,62,224,54,217,59,5,34
2022/7/18 13:00,2022/07/18T13:00:00,146,63,65,56,214,64,245,52,157,65,10,37
2022/7/18 13:05,2022/07/18T13:05:00,110,57,69,66,181,30,162,36,202,60,17,29
2022/7/18 13:10,2022/07/18T13:10:00,53,55,56,40,82,57,257,61,91,55,7,35
2022/7/18 13:15,2022/07/18T13:15:00,59,40,36,58,148,40,153,56,220,29,8,29
2022/7/18 13:20,2022/07/18T13:20:00,63,51,52,36,135,55,91,49,180,35,16,35
2022/7/18 13:25,2022/07/18T13:25:00,134,60,221,58,112,54,198,57,147,54,167,44
2022/7/18 13:30,2022/07/18T13:30:00,62,62,127,34,45,56,163,52,77,54,164,29
2022/7/18 13:35,2022/07/18T13:35:00,80,64,107,66,102,55,159,51,111,36,134,41
2022/7/18 13:40,2022/07/18T13:40:00,110,50,157,48,145,21,227,62,289,49,107,44
2022/7/18 13:45,2022/07/18T13:45:00,49,57,64,27,147,52,202,66,118,48,90,35
2022/7/18 13:50,2022/07/18T13:50:00,100,29,80,54,223,55,221,55,179,50,9,33
2022/7/18 13:55,2022/07/18T13:55:00,107,64,62,48,113,59,100,54,123,47,88,40
2022/7/18 14:00,2022/07/18T14:00:00,107,53,17,32,146,58,154,64,117,72,130,42
2022/7/18 14:05,2022/07/18T14:05:00,170,61,80,36,111,63,278,39,185,32,70,24
2022/7/18 14:10,2022/07/18T14:10:00,87,24,37,23,272,64,150,65,174,54,130,53
2022/7/18 14:15,2022/07/18T14:15:00,107,50,95,57,139,46,125,61,198,30,146,51
2022/7/18 14:20,2022/07/18T14:20:00,109,56,41,19,119,35,203,79,120,60,75,42
2022/7/18 14:25,2022/07/18T14:25:00,155,57,99,34,71,45,272,73,123,51,5,32
2022/7/18 14:30,2022/07/18T14:30:00,147,52,116,46,284,61,118,54,158,34,45,41
2022/7/18 14:35,2022/07/18T14:35:00,69,53,17,44,71,45,169,66,37,65,119,33
2022/7/18 14:40,2022/07/18T14:40:00,66,46,13,34,105,45,203,55,52,64,125,50
2022/7/18 14:45,2022/07/18T14:45:00,119,46,84,32,298,50,148,48,215,46,151,40
2022/7/18 14:50,2022/07/18T14:50:00,198,58,49,37,229,28,319,64,86,29,95,44
2022/7/18 14:55,2022/07/18T14:55:00,85,57,43,46,223,37,34,30,125,56,5,34
2022/7/18 15:00,2022/07/18T15:00:00,100,56,118,41,179,50,69,45,232,59,11,26
2022/7/18 15:05,2022/07/18T15:05:00,218,54,87,44,325,17,304,43,173,22,33,34
2022/7/18 15:10,2022/07/18T15:10:00,138,46,20,23,265,39,171,48,212,39,43,34
2022/7/18 15:15,2022/07/18T15:15:00,166,45,102,47,103,58,297,42,138,19,23,33
2022/7/18 15:20,2022/07/18T15:20:00,32,62,91,26,222,30,34,38,205,43,12,29
2022/7/18 15:25,2022/07/18T15:25:00,184,47,28,17,99,46,140,79,228,29,74,36
2022/7/18 15:30,2022/07/18T15:30:00,139,46,71,23,164,36,91,33,81,63,85,20
2022/7/18 15:35,2022/07/18T15:35:00,178,37,73,36,114,59,260,26,239,36,7,39
2022/7/18 15:40,2022/07/18T15:40:00,90,41,125,53,314,50,118,62,208,62,11,36
2022/7/18 15:45,2022/07/18T15:45:00,294,51,38,20,155,23,290,66,206,70,92,44
2022/7/18 15:50,2022/07/18T15:50:00,191,49,6,37,326,43,218,70,143,44,79,25
2022/7/18 15:55,2022/07/18T15:55:00,65,49,6,39,221,64,301,65,89,44,7,27
2022/7/18 16:00,2022/07/18T16:00:00,81,40,22,16,74,63,218,62,148,43,51,46
2022/7/18 16:05,2022/07/18T16:05:00,75,51,10,36,95,45,197,54,138,37,24,43
