,timestamp,plala(Download),plala(Upload),wakwak(Download),wakwak(Upload),asahi(Download),asahi(Upload),ocn(Download),ocn(Upload),sonet(Download),sonet(Upload),wakwak-ipoe(Download),wakwak-ipoe(Upload)
2022/7/11 19:05,2022/07/11T19:05:00,134,40,20,21,336,63,110,74,71,58,75,43
2022/7/11 19:10,2022/07/11T19:10:00,125,47,17,34,220,56,66,95,127,50,15,22
2022/7/11 19:15,2022/07/11T19:15:00,35,50,20,40,176,48,64,102,102,56,27,47
2022/7/11 19:20,2022/07/11T19:20:00,94,53,7,38,248,67,74,104,123,67,81,37
2022/7/11 19:25,2022/07/11T19:25:00,34,66,5,37,190,57,88,54,79,44,9,45
2022/7/11 19:30,2022/07/11T19:30:00,51,53,14,31,122,43,113,58,61,59,33,27
2022/7/11 19:35,2022/07/11T19:35:00,191,58,6,34,178,41,120,94,127,48,56,30
2022/7/11 19:40,2022/07/11T19:40:00,118,57,17,30,159,26,97,78,137,28,63,39
2022/7/11 19:45,2022/07/11T19:45:00,113,61,14,30,250,58,114,117,205,55,134,41
2022/7/11 19:50,2022/07/11T19:50:00,121,63,5,25,286,51,103,50,60,57,177,33
2022/7/11 19:55,2022/07/11T19:55:00,67,65,6,37,122,55,50,114,92,49,6,46
2022/7/11 20:00,2022/07/11T20:00:00,106,53,14,18,200,54,114,58,213,26,132,49
2022/7/11 20:05,2022/07/11T20:05:00,125,58,17,27,227,64,54,102,193,66,40,45
2022/7/11 20:10,2022/07/11T20:10:00,130,59,18,34,302,54,67,103,108,74,41,50
2022/7/11 20:15,2022/07/11T20:15:00,155,54,19,24,172,64,95,116,204,50,60,40
2022/7/11 20:20,2022/07/11T20:20:00,125,62,13,31,290,54,49,117,149,60,143,44
2022/7/11 20:25,2022/07/11T20:25:00,102,59,10,33,296,55,109,44,177,46,87,44
2022/7/11 20:30,2022/07/11T20:30:00,225,50,6,34,230,48,104,116,186,44,80,34
2022/7/11 20:35,2022/07/11T20:35:00,147,53,20,31,311,67,118,69,282,53,106,51
2022/7/11 20:40,2022/07/11T20:40:00,129,60,9,29,172,62,82,67,201,75,9,43
2022/7/11 20:45,2022/07/11T20:45:00,77,50,15,18,310,53,118,66,108,50,7,25
2022/7/11 20:50,2022/07/11T20:50:00,149,59,10,37,220,55,39,42,169,53,5,37
2022/7/11 20:55,2022/07/11T20:55:00,145,50,5,25,296,54,103,86,174,47,6,16
2022/7/11 21:00,2022/07/11T21:00:00,156,60,13,30,316,65,42,101,151,62,98,41
2022/7/11 21:05,2022/07/11T21:05:00,136,53,18,36,199,56,85,69,207,68,17,28
2022/7/11 21:10,2022/07/11T21:10:00,39,64,5,30,197,55,49,100,190,61,121,46
2022/7/11 21:15,2022/07/11T21:15:00,96,53,16,38,251,52,60,55,119,60,93,40
2022/7/11 21:20,2022/07/11T21:20:00,122,50,7,19,207,60,91,62,122,21,34,49
2022/7/11 21:25,2022/07/11T21:25:00,171,53,16,34,213,37,97,83,143,50,97,40
2022/7/11 21:30,2022/07/11T21:30:00,89,64,4,26,214,62,52,47,228,51,41,40
2022/7/11 21:35,2022/07/11T21:35:00,81,53,8,39,138,64,95,93,45,72,59,29
2022/7/11 21:40,2022/07/11T21:40:00,158,45,17,23,208,56,121,76,91,65,57,37
2022/7/11 21:45,2022/07/11T21:45:00,126,56,18,33,193,54,62,79,95,53,22,43
2022/7/11 21:50,2022/07/11T21:50:00,113,56,5,27,144,66,121,93,120,53,10,51
2022/7/11 21:55,2022/07/11T21:55:00,107,52,13,18,317,58,110,44,84,70,68,47
2022/7/11 22:00,2022/07/11T22:00:00,118,41,8,25,197,73,64,49,138,65,84,26
2022/7/11 22:05,2022/07/11T22:05:00,123,59,16,23,214,50,77,56,221,57,112,38
2022/7/11 22:10,2022/07/11T22:10:00,178,56,11,35,275,42,116,43,112,58,138,49
2022/7/11 22:15,2022/07/11T22:15:00,88,47,20,36,71,67,115,113,62,55,70,34
2022/7/11 22:20,2022/07/11T22:20:00,127,59,15,35,239,53,121,104,237,47,60,47
2022/7/11 22:25,2022/07/11T22:25:00,77,63,6,19,166,58,111,93,107,45,93,34
2022/7/11 22:30,2022/07/11T22:30:00,121,65,6,35,236,50,116,78,127,47,41,46
2022/7/11 22:35,2022/07/11T22:35:00,103,65,12,26,328,57,55,49,172,46,105,53
2022/7/11 22:40,2022/07/11T22:40:00,143,54,6,28,212,22,78,104,160,60,65,63
2022/7/11 22:45,2022/07/11T22:45:00,168,65,15,23,349,47,72,80,200,59,16,36
2022/7/11 22:50,2022/07/11T22:50:00,132,57,12,33,64,51,94,64,198,48,77,47
2022/7/11 22:55,2022/07/11T22:55:00,90,55,13,34,173,51,102,85,84,60,91,45
2022/7/11 23:00,2022/07/11T23:00:00,187,56,16,21,331,64,110,111,217,64,26,41
2022/7/11 23:05,2022/07/11T23:05:00,136,58,7,29,235,47,87,114,112,64,98,40
2022/7/11 23:10,2022/07/11T23:10:00,227,59,6,27,196,64,107,84,201,59,18,52
2022/7/11 23:15,2022/07/11T23:15:00,98,60,9,38,199,40,75,85,214,64,71,47
2022/7/11 23:20,2022/07/11T23:20:00,93,52,10,37,260,38,117,118,153,60,27,43
2022/7/11 23:25,2022/07/11T23:25:00,141,35,16,40,140,54,77,63,132,64,62,46
2022/7/11 23:30,2022/07/11T23:30:00,127,54,16,39,109,49,70,51,98,64,32,35
2022/7/11 23:35,2022/07/11T23:35:00,117,54,17,18,232,56,112,61,177,68,73,48
